Song,Year,Artist,Winner,trackID
"""This Masquerade""",1977,George Benson,1,2skIFujR9zTTAEXj8tfrw0
"""Truth Hurts""",2020,Lizzo,0,3HWzoMvoF3TQfYg4UPszDq
"""U Can't Touch This""",1991,MC Hammer,0,1B75hgRqe7A4fwee3g3Wmu
"""Umbrella""",2008,Rihanna featuring Jay Z,0,49FYlytm3dAAraYgpoJZux
"""Unforgettable""",1992,Natalie Cole (With Nat King Cole),1,48D177fBErMz5p4zeAW1N5
"""Up, Up and Away""",1968,The 5th Dimension,1,3JdToGxgvH9SnO1a605Ztr
"""Uptown Funk""",2016,Mark Ronson featuring Bruno Mars,1,32OlwWuMpZ6b0aN2RZOeMS
"""Use Somebody""",2010,Kings of Leon,1,5VGlqQANWDKJFl0MBG3sg2
"""Video""",2002,India.Arie,0,4oiAlcisfimXQc1wyAtX9a
"""Vision of Love""",1991,Mariah Carey,0,0gLQ6jhJsyYfl7PrD1RZ7X
"""Viva la Vida""",2009,Coldplay,0,1mea3bSkSGXuIRvnydlB5b
"""Walk On""",2002,U2,1,3yjGZ9mlBxlGih186finfS
"""Waterfalls""",1996,TLC,0,6qspW4YKycviDFjHBOaqUY
"""We Are Never Ever Getting Back Together""",2013,Taylor Swift,0,7AEAGTc8cReDqcbPoY9gwo
"""We Are the World""",1986,USA for Africa,1,3Z2tPWiNiIpg8UMMoowHIk
"""We Are Young""",2013,Fun. featuring Janelle Monáe,0,7a86XRg84qjasly9f6bPSD
"""We Belong Together""",2006,Mariah Carey,0,3LmvfNUQtglbTrydsdIqFU
"""We Didn't Start the Fire""",1990,Billy Joel,0,3Cx4yrFaX8CeHwBMReOWXI
"""What a Fool Believes""",1980,The Doobie Brothers,1,2yBVeksU2EtrPJbTu4ZslK
